Code,Assets_%
MUSA,0.50836
CF,0.50715
AKAM,0.47567
OXY,0.4658
GWRE,0.45794
DGNR,0.45703
AR,0.44377
VRSN,0.44166
INTU,0.43753
FFIV,0.43392
VIRT,0.42999
RRC,0.42775
NYT,0.4261
XOM,0.42475
CTRA,0.42316
RPRX,0.41989
FCN,0.41968
ADSK,0.41894
OKTA,0.41817
ROP,0.41784
SAIC,0.41422
KR,0.41412
CACI,0.41179
GD,0.41157
EBAY,0.41005
ULS,0.4096
NOC,0.40919
WM,0.40684
HRB,0.40592
WTRG,0.40559
TJX,0.40427
VRSK,0.40398
DUK,0.40345
AWK,0.40152
SCI,0.40132
ED,0.40124
BAH,0.40105
CMS,0.40026
BMY,0.39864
SO,0.39837
FE,0.3964
T,0.39472
EXC,0.39457
JNJ,0.39412
CNP,0.39356
CME,0.39223
TYL,0.39156
BSY,0.39152
VZ,0.39144
