Code,Assets_%
JPM,3.89531
AVGO,3.85742
XOM,3.18711
JNJ,2.82556
PG,2.82296
CVX,2.0632
7203,1.96604
BAC,1.72928
NOVN,1.56441
CSCO,1.48193
ROG,1.4059
CMCSA,1.28697
QCOM,1.26577
VZ,1.25914
HSBA,1.22531
TXN,1.13036
FP,1.07941
SIE,1.02719
COP,1.00593
RY,0.99264
CBA,0.97395
PLD,0.91065
SU,0.89011
BLQA,0.87491
8640,0.83203
ETN,0.82115
LMT,0.81964
UPS,0.81339
MS,0.80603
SAN,0.79146
ADP,0.78639
C,0.77386
CVS,0.76317
MDLZ,0.75893
MMC,0.75092
GILD,0.65833
4063,0.60714
8058,0.58287
6501,0.56879
SO,0.5536
ZURN,0.55294
IBE,0.52644
BMO,0.49855
8031,0.49261
9432,0.49236
7974,0.48085
BATS,0.4694
MUV2,0.46169
GD,0.46155
CS,0.45524
