Code,Assets_%
CVX,4.42593
COP,4.25788
MRK,4.1584
KO,4.06497
VZ,3.99262
TXN,3.98434
PEP,3.96365
UNH,3.92974
AMGN,3.79624
ABT,3.7638
PG,3.74128
HD,3.6058
QCOM,3.60249
LMT,3.35753
ACN,3.29853
BMY,3.2318
MO,2.93932
CMCSA,2.66865
BX,2.25367
ADP,2.1872
EOG,2.06081
SLB,1.9685
UPS,1.93188
OKE,1.47941
TGT,1.45224
FAST,1.4155
F,1.21035
FITB,1.12901
ADM,0.94473
KMB,0.84959
DVN,0.81736
HSY,0.81349
PAYX,0.78883
CTRA,0.69813
CINF,0.65811
RF,0.61186
DRI,0.60194
ARES,0.56193
GIS,0.53178
TROW,0.52496
SNA,0.50548
BR,0.5004
PFG,0.47478
EWBC,0.39927
APA,0.39702
WSO,0.34416
BBY,0.33451
FNF,0.31017
BAH,0.26691
DINO,0.25275
