,Code,Exchange,Name,Sector,Industry,Country,Region,Assets_%
NVDA.US,NVDA,US,NVIDIA Corporation,Technology,Semiconductors,United States,North America,18.05
AAPL.US,AAPL,US,Apple Inc,Technology,Consumer Electronics,United States,North America,14.33
MSFT.US,MSFT,US,Microsoft Corporation,Technology,Software - Infrastructure,United States,North America,10.94
AVGO.US,AVGO,US,Broadcom Inc,Technology,Semiconductors,United States,North America,4.33
MU.US,MU,US,Micron Technology Inc,Technology,Semiconductors,United States,North America,2.35
AMD.US,AMD,US,Advanced Micro Devices Inc,Technology,Semiconductors,United States,North America,1.9
PLTR.US,PLTR,US,Palantir Technologies Inc.,Technology,Software - Infrastructure,United States,North America,1.62
CSCO.US,CSCO,US,Cisco Systems Inc,Technology,Communication Equipment,United States,North America,1.56
LRCX.US,LRCX,US,Lam Research Corp,Technology,Semiconductor Equipment & Materials,United States,North America,1.52
IBM.US,IBM,US,International Business Machines,Technology,Information Technology Services,United States,North America,1.44
ORCL.US,ORCL,US,Oracle Corporation,Technology,Software - Infrastructure,United States,North America,1.37
AMAT.US,AMAT,US,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,United States,North America,1.34
INTC.US,INTC,US,Intel Corporation,Technology,Semiconductors,United States,North America,1.07
TXN.US,TXN,US,Texas Instruments Incorporated,Technology,Semiconductors,United States,North America,1.03
CRM.US,CRM,US,Salesforce.com Inc,Technology,Software - Application,United States,North America,1.02
KLAC.US,KLAC,US,KLA Corporation,Technology,Semiconductor Equipment & Materials,United States,North America,0.99
APH.US,APH,US,Amphenol Corporation,Technology,Electronic Components,United States,North America,0.91
ACN.US,ACN,US,Accenture plc,Technology,Information Technology Services,United States,North America,0.86
QCOM.US,QCOM,US,Qualcomm Incorporated,Technology,Semiconductors,United States,North America,0.84
ADI.US,ADI,US,Analog Devices Inc,Technology,Semiconductors,United States,North America,0.83
ANET.US,ANET,US,Arista Networks,Technology,Computer Hardware,United States,North America,0.79
INTU.US,INTU,US,Intuit Inc,Technology,Software - Application,United States,North America,0.72
ADBE.US,ADBE,US,Adobe Systems Incorporated,Technology,Software - Application,United States,North America,0.66
NOW.US,NOW,US,ServiceNow Inc,Technology,Software - Application,United States,North America,0.62
PANW.US,PANW,US,Palo Alto Networks Inc,Technology,Software - Infrastructure,United States,North America,0.62
CRWD.US,CRWD,US,Crowdstrike Holdings Inc,Technology,Software - Infrastructure,United States,North America,0.59
APP.US,APP,US,Applovin Corp,Communication Services,Advertising Agencies,United States,North America,0.57
SNDK.US,SNDK,US,Sandisk Corp,Technology,Computer Hardware,United States,North America,0.56
WDC.US,WDC,US,Western Digital Corporation,Technology,Computer Hardware,United States,North America,0.54
STX.US,STX,US,Seagate Technology PLC,Technology,Computer Hardware,United States,North America,0.54
GLW.US,GLW,US,Corning Incorporated,Technology,Electronic Components,United States,North America,0.49
SNPS.US,SNPS,US,Synopsys Inc,Technology,Software - Infrastructure,United States,North America,0.49
CDNS.US,CDNS,US,Cadence Design Systems Inc,Technology,Software - Application,United States,North America,0.45
MRVL.US,MRVL,US,Marvell Technology Group Ltd,Technology,Semiconductors,United States,North America,0.39
MSI.US,MSI,US,Motorola Solutions Inc,Technology,Communication Equipment,United States,North America,0.39
TEL.US,TEL,US,TE Connectivity Ltd,Technology,Electronic Components,United States,North America,0.39
NXPI.US,NXPI,US,NXP Semiconductors NV,Technology,Semiconductors,United States,North America,0.36
SNOW.US,SNOW,US,Snowflake Inc.,Technology,Software - Application,United States,North America,0.35
MPWR.US,MPWR,US,Monolithic Power Systems Inc,Technology,Semiconductors,United States,North America,0.34
FTNT.US,FTNT,US,Fortinet Inc,Technology,Software - Infrastructure,United States,North America,0.33
