,Code,Exchange,Name,Sector,Industry,Country,Region,Assets_%
CDE.US,CDE,US,Coeur Mining Inc,Basic Materials,Gold,United States,North America,6.16158
FCX.US,FCX,US,Freeport-McMoran Copper & Gold Inc,Basic Materials,Copper,United States,North America,5.50905
AA.US,AA,US,Alcoa Corp,Basic Materials,Aluminum,United States,North America,5.46866
NEM.US,NEM,US,Newmont Goldcorp Corp,Basic Materials,Gold,United States,North America,5.43293
HL.US,HL,US,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,United States,North America,5.42213
RGLD.US,RGLD,US,Royal Gold Inc,Basic Materials,Gold,United States,North America,5.30778
UEC.US,UEC,US,Uranium Energy Corp,Energy,Uranium,United States,North America,5.09959
RS.US,RS,US,Reliance Steel & Aluminum Co,Basic Materials,Steel,United States,North America,4.63294
CMC.US,CMC,US,Commercial Metals Company,Basic Materials,Steel,United States,North America,4.56538
STLD.US,STLD,US,Steel Dynamics Inc,Basic Materials,Steel,United States,North America,4.55177
BTU.US,BTU,US,Peabody Energy Corp,Energy,Thermal Coal,United States,North America,4.53106
NUE.US,NUE,US,Nucor Corp,Basic Materials,Steel,United States,North America,4.48067
CNR.US,CNR,US,"Core Natural Resources, Inc.",Energy,Thermal Coal,United States,North America,4.39404
HCC.US,HCC,US,Warrior Met Coal Inc,Basic Materials,Coking Coal,United States,North America,4.35568
MP.US,MP,US,MP Materials Corp,Basic Materials,Other Industrial Metals & Mining,United States,North America,4.12714
CLF.US,CLF,US,Cleveland-Cliffs Inc,Basic Materials,Steel,United States,North America,3.30725
LEU.US,LEU,US,Centrus Energy Corp.,Energy,Uranium,United States,North America,3.22882
CENX.US,CENX,US,Century Aluminum Company,Basic Materials,Aluminum,United States,North America,3.13953
AMR.US,AMR,US,Alpha Metallurgical Resources Inc,Basic Materials,Coking Coal,United States,North America,1.92905
IE.US,IE,US,Ivanhoe Electric Inc.,Basic Materials,Copper,United States,North America,1.73291
MTRN.US,MTRN,US,Materion Corporation,Basic Materials,Other Industrial Metals & Mining,United States,North America,1.66633
USAR.US,USAR,US,"USA Rare Earth, Inc.",Basic Materials,Other Industrial Metals & Mining,United States,North America,1.58068
MUX.US,MUX,US,McEwen Mining Inc.,Basic Materials,Other Precious Metals & Mining,United States,North America,1.309
UAMY.US,UAMY,US,United States Antimony Corporation,Basic Materials,Other Industrial Metals & Mining,United States,North America,1.07457
KALU.US,KALU,US,Kaiser Aluminum Corporation,Basic Materials,Aluminum,United States,North America,0.96621
CMP.US,CMP,US,Compass Minerals International Inc,Basic Materials,Other Industrial Metals & Mining,United States,North America,0.75182
METC.US,METC,US,Ramaco Resources Inc,Basic Materials,Coking Coal,United States,North America,0.73557
WS.US,WS,US,Worthington Steel Inc,Basic Materials,Steel,United States,North America,0.70794
IDR_old.US,IDR_old,US,Intrawest Corp,Other,Other,United States,North America,0.63298
URE.TO,URE,TO,Ur Energy Inc,Energy,Uranium,Canada,North America,0.60312
SXC.US,SXC,US,SunCoke Energy Inc,Basic Materials,Coking Coal,United States,North America,0.56871
ABAT.US,ABAT,US,American Battery Technology Company Common Stock,Industrials,Waste Management,United States,North America,0.50949
MTUS.US,MTUS,US,"Metallus, Inc",Basic Materials,Steel,United States,North America,0.48733
LTBR.US,LTBR,US,Lightbridge Corp,Industrials,Electrical Equipment & Parts,United States,North America,0.48455
RYI.US,RYI,US,Ryerson Holding Corp,Industrials,Metal Fabrication,United States,North America,0.44882
