,date,ADC,ADM,APH,APO,APP,ARES,AZO,BKNG,BRK-B,BTAL,BTE,BX,CASY,COST,CTA,CVX,CWST,CYA,DBMF,DECK,DOW,EGP,EXEL,FANG,FICO,FMF,FR,GILD,IVOL,KKR,KLAC,KMLM,LLY,LMT,MCK,MELI,META,MPC,MPWR,MSFT,NNN,O,ORLY,PFIX,PGR,PLD,PSA,REXR,RSBT,RSG,SCHD,SCHG,STAG,SVXY,TMUS,TRI,TRNO,TSLA,UNH,VOO,VRT,VRTX,WM,WMT,WPC,XLG,XME,XOM,GIC,sim_id
0,2008-01-21,0.0,0.0,0.0,20395.6632,0.0,0.0,0.0,0.0,18941.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20397.2362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20379.3111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327718.2895,1009552003
1,2008-02-18,20195.2608,0.0,0.0,3343.0908,0.0,0.0,0.0,0.0,0.0,0.0,20190.7475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14472.2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20192.852700000003,20194.9328,0.0,0.0,20189.0642,0.0,0.0,0.0,0.0,20187.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78,0.0,20165.4038,0.0,20188.35,0.0,20189.7312,0.0,204008.5136,1009552003
2,2008-03-17,0.0,0.0,0.0,20037.4749,0.0,0.0,0.0,0.0,0.0,0.0,48.2704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13891.286,0.0,0.0,0.0,0.0,0.0,20044.1356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20033.49,0.0,0.0,0.0,0.0,326392.4831,1009552003
3,2008-04-14,0.0,0.0,0.0,20255.1972,0.0,0.0,0.0,0.0,3000.2,0.0,20251.5072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20257.2792,0.0,17158.7912,0.0,13.0908,0.0,0.0,0.0,0.0,0.0,20255.4864,0.0,0.0,0.0,20247.9954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.34,20253.8,0.0,20250.216,0.0,0.0,0.0,0.0,242730.7085,1009552003
4,2008-05-12,0.0,20794.081,20803.4876,20803.0146,0.0,0.0,0.0,20801.2875,0.0,0.0,20793.8031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20797.4115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20794.2536,0.0,0.0,0.0,0.0,0.0,0.0,20542.4919,20792.0688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2734.7985,0.0,16404.8621,0.0,20750.0909,0.0,188744.87340000004,1009552003
5,2008-06-09,0.0,0.0,20849.8034,19335.1449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20847.6606,0.0,0.0,0.0,0.0,0.0,0.0,20820.0045,0.0,0.0,20848.2992,0.0,0.0,0.0,0.0,0.0,20831.6304,0.0,13.8536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20830.3645,0.0,0.0,0.0,18031.1624,0.0,254290.40100000004,1009552003
6,2008-07-07,0.0,0.0,0.0,20065.5681,0.0,0.0,0.0,0.0,0.0,0.0,5564.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20070.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6210.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20056.2052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20040.42,0.0,20062.6313,0.0,0.0,0.0,0.0,288958.9852,1009552003
7,2008-08-04,19883.5595,0.0,19891.7412,19889.9856,0.0,0.0,0.0,0.0,0.0,0.0,19893.2439,19888.704,19892.585,0.0,0.0,0.0,19882.8,0.0,0.0,0.0,0.0,19881.7461,19894.0,0.0,19886.328,0.0,0.0,19880.2999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19862.4468,0.0,0.0,19890.48,0.0,19888.2082,19893.3072,0.0,0.0,19886.984,0.0,0.0,0.0,0.0,19880.3886,0.0,0.0,0.0,0.0,19872.837600000003,0.0,0.0,0.0,0.0,0.0,9.78,19886.8,9121.4312,10874.0196,0.0,0.0,0.0,0.0,-665.4980000000796,1009552003
8,2008-09-01,0.0,0.0,19751.8581,19749.5196,0.0,0.0,0.0,0.0,19119.800000000003,0.0,19736.42,0.0,0.0,19713.1814,0.0,0.0,19685.49,0.0,0.0,19750.4447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19750.2084,0.0,0.0,0.0,19736.3475,0.0,0.0,0.0,0.0,0.0,19748.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78,0.0,0.0,68.64099999999999,0.0,0.0,0.0,0.0,197436.8051999999,1009552003
9,2008-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13350.2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1861.8726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361825.3549999998,1009552003
