,S&P500_Index,Actual_VOO,Estimated_or_Actual_VOO
2005-09-05,1233.39,,84.77145513852315
2005-10-03,1226.7,,84.3116483986625
2005-10-31,1207.01,,82.95834575174828
2005-11-28,1257.46,,86.42579717566002
2005-12-26,1256.54,,86.36256515762238
2006-01-23,1263.8199,,86.86291599252694
2006-02-20,1283.03,,88.18323489437999
2006-03-20,1305.08,,89.69874141365163
2006-04-17,1285.33,,88.34131493947409
2006-05-15,1294.5,,88.9715732062188
2006-06-12,1237.4399,,85.0498066057521
2006-07-10,1267.34,,87.10485406502073
2006-08-07,1275.77,,87.68425179551778
2006-09-04,1313.25,,90.26026922600761
2006-10-02,1331.3199,,91.50222166376662
2006-10-30,1377.9301,,94.7057618889165
2006-11-27,1381.96,,94.98273874705767
2006-12-25,1416.9,,97.3841808234001
2007-01-22,1422.95,,97.80000007245195
2007-02-19,1459.6801,,100.32447653519566
2007-03-19,1402.0601,,96.36422775331668
2007-04-16,1468.33,,100.91898809261278
2007-05-14,1503.15,,103.31218251442859
2007-06-11,1509.12,,103.72250332712933
2007-07-09,1531.85,,105.2847465553853
2007-08-06,1467.67,,100.87362599271623
2007-09-03,1489.42,,102.36851337567124
2007-10-01,1547.04,,106.3287621575502
2007-10-29,1540.98,,105.91225560395446
2007-11-26,1407.22,,96.71887002491714
2007-12-24,1496.45,,102.85168847002404
2008-01-21,1310.5,,90.07126047643858
2008-02-18,1348.78,,92.70226227043939
2008-03-17,1276.6,,87.74129807266043
2008-04-14,1328.3199,,91.29603030060042
2008-05-12,1403.58,,96.46869117094212
2008-06-09,1361.76,,93.59438356840519
2008-07-07,1252.3101,,86.07184220860346
2008-08-04,1249.01,,85.8450248360752
2008-09-01,1277.58,,87.80865391796138
2008-09-29,1106.42,,76.04474934478533
2008-10-27,848.92,,58.3466573396858
2008-11-24,851.81,,58.54528835286924
2008-12-22,871.63,,59.907525958853995
2009-01-19,805.22,,55.34313648289804
2009-02-16,789.17,,54.24001268995882
2009-03-16,753.89,,51.81520225912421
2009-04-13,858.73,,59.0209030972393
2009-05-11,909.24,,62.49247834841436
2009-06-08,939.14,,64.54751893463757
2009-07-06,898.72,,61.769433968244854
2009-08-03,1002.63,,68.91121548377842
2009-08-31,1020.62,,70.14767635823178
2009-09-28,1062.98,,73.05909840613863
2009-10-26,1066.95,,73.33195831006192
2009-11-23,1106.24,,76.03237786299536
2009-12-21,1114.05,,76.56916271177138
2010-01-18,1150.23,,79.05583055155586
2010-02-15,1094.87,,75.25091259659543
2010-03-15,1150.51,,79.0750750787847
2010-04-12,1196.48,,82.2346140670349
2010-05-10,1159.73,,79.70876986824885
2010-06-07,1050.47,,72.19928042173555
2010-07-05,1028.0601,,70.65903781192941
2010-08-02,1125.86,,77.38086937810235
2010-08-30,1048.92,,72.09274821743301
2010-09-27,1142.16,78.5772,78.5772
2010-10-25,1185.62,81.7101,81.7101
2010-11-22,1197.84,82.6891,82.6891
2010-12-20,1247.08,86.2136,86.2136
2011-01-17,1295.02,89.6495,89.6495
2011-02-14,1332.3199,92.3579,92.3579
2011-03-14,1296.39,90.0278,90.0278
2011-04-11,1324.46,92.0481,92.0481
2011-05-09,1346.29,93.6833,93.6833
2011-06-06,1286.17,89.7014,89.7014
2011-07-04,1337.88,93.3903,93.3903
2011-08-01,1286.9399,89.9388,89.9388
2011-08-29,1210.08,84.7004,84.7004
2011-09-26,1162.95,81.5519,81.5519
2011-10-24,1254.1899,88.1252,88.1252
2011-11-21,1192.98,84.086,84.086
2011-12-19,1205.35,84.9768,84.9768
2012-01-16,1293.67,91.4024,91.4024
2012-02-13,1351.77,95.6666,95.6666
2012-03-12,1371.09,97.2425,97.2425
2012-04-09,1382.2,98.1263,98.1263
2012-05-07,1369.58,97.3348,97.3348
2012-06-04,1278.1801,90.9876,90.9876
2012-07-02,1365.51,97.4238,97.4238
2012-07-30,1385.3,98.9682,98.9682
2012-08-27,1410.4399,101.0275,101.0275
2012-09-24,1456.89,104.5571,104.5571
2012-10-22,1433.8199,102.9577,102.9577
2012-11-19,1386.89,99.8216,99.8216
2012-12-17,1430.36,103.287,103.287
2013-01-14,1470.6801,106.288,106.288
2013-02-11,1517.01,109.731,109.731
2013-03-11,1556.22,112.8264,112.8264
2013-04-08,1563.0699,113.4723,113.4723
2013-05-06,1617.5,117.5028,117.5028
2013-06-03,1640.42,119.3752,119.3752
2013-07-01,1614.96,117.8429,117.8429
2013-07-29,1685.33,123.1298,123.1298
2013-08-26,1656.78,121.3037,121.3037
2013-09-23,1701.84,124.8149,124.8149
2013-10-21,1744.66,128.0847,128.0847
2013-11-18,1791.53,131.7472,131.7472
2013-12-16,1786.54,131.611,131.611
2014-01-13,1819.2,134.1802,134.1802
2014-02-10,1799.84,132.899,132.899
2014-03-10,1877.17,138.9585,138.9585
2014-04-07,1845.04,136.7193,136.7193
2014-05-05,1884.66,139.7791,139.7791
2014-06-02,1924.97,143.106,143.106
2014-06-30,1960.23,145.8971,145.8971
2014-07-28,1978.91,147.4664,147.4664
2014-08-25,1997.92,149.2552,149.2552
2014-09-22,1994.29,149.1489,149.1489
2014-10-20,1904.01,142.5885,142.5885
2014-11-17,2041.3199,153.1276,153.1276
2014-12-15,1989.63,149.4512,149.4512
2015-01-12,2028.26,152.6745,152.6745
2015-02-09,2046.74,154.1697,154.1697
