symbol,asset_type,direction,sector_strategy,momentum_weight,quality_weight
A,stock,long,Healthcare (A),0.3,0.7
AAPL,stock,long,Technology (AAPL),0.3,0.7
ABBV,stock,long,Healthcare (ABBV),0.4,0.6
ABNB,stock,long,Consumer Discretionary (ABNB),0.4,0.6
ABT,stock,long,Healthcare (ABT),0.6,0.4
ACGL,stock,long,Insurance (Arch Capital Group),0.4,0.6
ACN,stock,long,Technology / IT Consulting (Accenture),0.4,0.6
ADBE,stock,long,Technology (ADBE),0.6,0.4
ADC,stock,long,REIT (Agree Realty),0.3,0.7
ADI,stock,long,Technology (ADI),0.3,0.7
ADM,stock,long,Consumer Defensive (Archer-Daniels),0.5,0.5
ADP,stock,long,Business Services (Automatic Data Processing),0.3,0.7
ADSK,stock,long,Technology (ADSK),0.7,0.3
AEE,stock,long,Utilities (AEE),0.2,0.8
AEP,stock,long,Utilities (AEP),0.6,0.4
AES,stock,long,Utilities (AES),0.3,0.7
AFL,stock,long,Financials (AFL),0.5,0.5
AIG,stock,long,Financials (AIG),0.5,0.5
AIZ,stock,long,Insurance (Assurant),0.4,0.6
AJG,stock,long,Financials (AJG),0.2,0.8
AKAM,stock,long,Technology (AKAM),0.3,0.7
ALB,stock,long,Materials (ALB),0.3,0.7
ALGN,stock,long,Health Care (ALGN),0.3,0.7
ALL,stock,long,Financials (ALL),0.6,0.4
ALLE,stock,long,Industrials (ALLE),0.6,0.4
AMAT,stock,long,Technology (AMAT),0.5,0.5
AMD,stock,long,Technology (AMD),0.3,0.7
AME,stock,long,Industrials (AME),0.3,0.7
AMGN,stock,long,Healthcare (AMGN),0.7,0.3
AMP,stock,long,Financials (AMP),0.4,0.6
AMT,stock,long,Real Estate (AMT),0.3,0.7
AMZN,stock,long,Consumer Cyclical (AMZN),0.2,0.8
ANET,stock,long,Technology (Arista Networks),0.7,0.3
AON,stock,long,Financials (AON),0.2,0.8
AOS,stock,long,Industrials (AOS),0.6,0.4
APA,stock,long,Energy (APA),0.7,0.3
APD,stock,long,Materials (APD),0.6,0.4
APH,stock,long,Technology (Amphenol),0.5,0.5
APO,stock,long,Asset Management (Apollo),0.6,0.4
APP,stock,long,Technology (Applovin),0.8,0.2
APTV,stock,long,Consumer Cyclical (Aptiv),0.5,0.5
ARE,stock,long,Real Estate (ARE),0.7,0.3
ARES,stock,long,Asset Management / Credit,0.5,0.5
ATO,stock,long,Utilities (ATO),0.7,0.3
AVB,stock,long,Real Estate (AVB),0.7,0.3
AVGO,stock,long,Technology (AVGO),0.3,0.7
AVY,stock,long,Materials (AVY),0.5,0.5
AWK,stock,long,Utilities (AWK),0.6,0.4
AXON,stock,long,Technology / Defense (Axon Enterprise),0.7,0.3
AXP,stock,long,Financials (AXP),0.5,0.5
AZO,stock,long,Consumer Cyclical (AutoZone),0.4,0.6
BA,stock,long,Industrials (BA),0.3,0.7
BAC,stock,long,Financials (BAC),0.5,0.5
BALL,stock,long,Materials (BALL),0.6,0.4
BAX,stock,long,Healthcare (BAX),0.3,0.7
BBY,stock,long,Consumer Cyclical (BBY),0.6,0.4
